subroot_map_162116,-0.0481167,0.023887,-0.0519311
subroot_map_125024005,-0.0448018,0.0230897,-0.0495857
subroot_map_50012027,-0.0491665,0.0237025,-0.0524804
subroot_map_50011277,-0.0474593,0.0237511,-0.0515259
subroot_map_50017319,-0.0519331,0.0259502,-0.0549951
subroot_map_50013878,-0.0473487,0.0235182,-0.0516015
subroot_map_50020848,-0.0418859,0.0227061,-0.0482751
subroot_map_50008548,-0.0422494,0.0214394,-0.0481911
subroot_map_122950008,-0.0427556,0.021565,-0.0484152
subroot_map_50024128,-0.0521116,0.0238264,-0.0542799
subroot_map_50020840,-0.0462069,0.0231805,-0.0507779
subroot_map_50008545,-0.0402854,0.0204411,-0.0466516
subroot_map_50018772,0.0564483,-0.0101975,0.0297011
subroot_map_50025860,-0.0494145,0.0225386,-0.0523761
subroot_map_121400005,-0.0497828,0.0239737,-0.0528733
subroot_map_50024097,-0.0504452,0.0249588,-0.0533461
subroot_map_50024095,-0.0439484,0.0231018,-0.0491117
subroot_map_50024094,-0.0489817,0.0238958,-0.0525282
subroot_map_124506004,-0.0532534,0.0238781,-0.0548469
subroot_map_50010099,-0.0462783,0.022716,-0.0509289
subroot_map_50009146,-0.0409339,0.0216002,-0.0474248
subroot_map_50024103,-0.0496892,0.0232586,-0.0523975
subroot_map_50023497,-0.0474291,0.0220563,-0.0513532
subroot_map_50002506,-0.043192,0.0212522,-0.0486738
subroot_map_122920002,-0.048768,0.023502,-0.0522339
subroot_map_50014023,-0.0474681,0.0239768,-0.0518491
subroot_map_50010368,-0.0479861,0.0259863,-0.0524728
subroot_map_122690003,-0.0475113,0.0240066,-0.0518849
subroot_map_50005730,-0.0463614,0.0223022,-0.0505425
subroot_map_302910,-0.048141,0.0249976,-0.052312
subroot_map_50003949,-0.0411988,0.0213808,-0.0476437
subroot_map_2132,-0.0411887,0.0213613,-0.0474838
subroot_map_50015127,-0.0393254,0.0219554,-0.0468124
