occupation_教育,1,0
subroot_map_210605,38,0
subroot_map_50008898,4431,0
subroot_map_121390006,689,0
subroot_map_50011979,665,0
subroot_map_50008900,896,0
subroot_map_50001705,77,0
subroot_map_50025114,11,0
subroot_map_121412004,1806,0
subroot_map_50008557,112,0
subroot_map_50018327,27,0
subroot_map_50011978,427,0
subroot_map_50010518,618,0
subroot_map_50010539,358,0
subroot_map_50012343,68,0
subroot_map_123016002,571,0
subroot_map_50012436,348,0
subroot_map_121410037,239,0
occupation_大学,1,0
subroot_map_50010808,98,0
subroot_map_124470013,150,0
subroot_map_50000852,95,0
subroot_map_50012165,106,0
subroot_map_50012042,613,0
subroot_map_50000049,108,0
subroot_map_50010550,102,0
subroot_map_50000141,63,0
subroot_map_50012341,253,0
subroot_map_50023686,496,0
subroot_map_50020486,303,0
subroot_map_50002777,253,0
subroot_map_213002,902,0
subroot_map_50010796,234,0
subroot_map_50012770,94,0
subroot_map_50012404,185,0
subroot_map_50014757,261,0
subroot_map_50020491,12,0
subroot_map_50019601,670,0
subroot_map_50019935,666,0
subroot_map_50012135,399,0
subroot_map_50021057,133,0
subroot_map_50012482,198,0
subroot_map_50014248,168,0
subroot_map_50007116,586,0
subroot_map_50015292,99,0
subroot_map_50008876,4256,0
subroot_map_50011165,254,0
subroot_map_3035,1403,0
subroot_map_122666001,31,0
subroot_map_1624,1121,0
subroot_map_50019780,8,0
subroot_map_50010790,47,0
subroot_map_50012487,120,0
subroot_map_124246008,96,0
qq_length_20,1,0
subroot_map_50023066,10,0
subroot_map_50015207,13,0
subroot_map_50009821,97,0
subroot_map_50023105,293,0
subroot_map_50016889,53,0
subroot_map_50023728,28,0
subroot_map_50008899,499,0
occupation_银行,1,0
subroot_map_50020296,90,0
subroot_map_50015218,122,0
subroot_map_50025682,120,0
subroot_map_50026471,6,0
subroot_map_124388001,73,0
subroot_map_50009837,113,0
subroot_map_50008280,536,0
subroot_map_50010420,9,0
subroot_map_50594001,40,0
subroot_map_50012166,198,0
subroot_map_50026398,53,0
subroot_map_50008544,71,0
subroot_map_50013875,5157,0
subroot_map_50024109,1077,0
subroot_map_122956002,2177,0
